# Z A Mass(u)
0 1 1.008664
1 1 1.007825
1 2 2.014101
1 3 3.016049
2 3 3.016029
3 3 3.030775
1 4 4.026431
2 4 4.002603
3 4 4.027185
1 5 5.035311
2 5 5.012057
3 5 5.012537
4 5 5.039870
1 6 6.044955
2 6 6.018885
3 6 6.015122
4 6 6.019726
5 6 6.050800
1 7 7.052749
2 7 7.027990
3 7 7.016003
4 7 7.016928
5 7 7.029712
2 8 8.033934
3 8 8.022486
4 8 8.005305
5 8 8.024607
6 8 8.037643
2 9 9.043946
3 9 9.026790
4 9 9.012183
5 9 9.013329
6 9 9.031037
2 10 10.052788
3 10 10.035483
4 10 10.013534
5 10 10.012936
6 10 10.016853
7 10 10.041653
3 11 11.043723
4 11 11.021661
5 11 11.009305
6 11 11.011433
7 11 11.026091
3 12 12.052517
4 12 12.026922
5 12 12.014352
6 12 12.000000
7 12 12.018613
8 12 12.034261
3 13 13.062631
4 13 13.036134
5 13 13.017780
6 13 13.003354
7 13 13.005738
8 13 13.024815
4 14 14.042892
5 14 14.025404
6 14 14.003241
7 14 14.003074
8 14 14.008596
9 14 14.034315
4 15 15.053420
5 15 15.031087
6 15 15.010599
7 15 15.000108
8 15 15.003065
9 15 15.018042
4 16 16.061672
5 16 16.039841
6 16 16.014701
7 16 16.006101
8 16 15.994914
9 16 16.011465
10 16 16.025750
5 17 17.046989
6 17 17.022577
7 17 17.008448
8 17 16.999131
9 17 17.002095
10 17 17.017713
5 18 18.055660
6 18 18.026750
7 18 18.014077
8 18 17.999159
9 18 18.000937
10 18 18.005708
11 18 18.026878
5 19 19.063100
6 19 19.034796
7 19 19.017021
8 19 19.003577
9 19 18.998403
10 19 19.001880
11 19 19.013880
12 19 19.034169
5 20 20.072070
6 20 20.040319
7 20 20.023365
8 20 20.004075
9 20 19.999981
10 20 19.992440
11 20 20.007354
12 20 20.018850
5 21 21.081290
6 21 21.049000
7 21 21.027108
8 21 21.008654
9 21 20.999948
10 21 20.993846
11 21 20.997654
12 21 21.011716
13 21 21.028975
6 22 22.057531
7 22 22.034394
8 22 22.009966
9 22 22.002998
10 22 21.991385
11 22 21.994437
12 22 21.999570
13 22 22.019540
14 22 22.035790
6 23 23.068890
7 23 23.041140
8 23 23.015695
9 23 23.003556
10 23 22.994466
11 23 22.989769
12 23 22.994124
13 23 23.007244
14 23 23.025440
7 24 24.050390
8 24 24.019861
9 24 24.008115
10 24 23.993610
11 24 23.990962
12 24 23.985041
13 24 23.999948
14 24 24.011534
15 24 24.035770
7 25 25.060100
8 25 25.029358
9 25 25.012199
10 25 24.997788
11 25 24.989953
12 25 24.985836
13 25 24.990428
14 25 25.004108
15 25 25.021190
8 26 26.037287
9 26 26.020037
10 26 26.000514
11 26 25.992634
12 26 25.982592
13 26 25.986891
14 26 25.992333
15 26 26.011780
16 26 26.029070
8 27 27.047720
9 27 27.026441
10 27 27.007553
11 27 26.994076
12 27 26.984340
13 27 26.981538
14 27 26.986704
15 27 26.999224
16 27 27.018280
8 28 28.055910
9 28 28.035342
10 28 28.012121
11 28 27.998939
12 28 27.983876
13 28 27.981910
14 28 27.976926
15 28 27.992326
16 28 28.004372
17 28 28.029540
9 29 29.042540
10 29 29.019753
11 29 29.002877
12 29 28.988617
13 29 28.980456
14 29 28.976494
15 29 28.981800
16 29 28.996611
17 29 29.014780
9 30 30.051650
10 30 30.024734
11 30 30.009097
12 30 29.990462
13 30 29.982960
14 30 29.973770
15 30 29.978313
16 30 29.984907
17 30 30.004770
18 30 30.023070
9 31 31.059709
10 31 31.033087
11 31 31.013162
12 31 30.996648
13 31 30.983945
14 31 30.975363
15 31 30.973761
16 31 30.979557
17 31 30.992414
18 31 31.012124
10 32 32.039720
11 32 32.020193
12 32 31.999110
13 32 31.988085
14 32 31.974151
15 32 31.973907
16 32 31.972071
17 32 31.985684
18 32 31.997637
19 32 32.022650
10 33 33.049380
11 33 33.025730
12 33 33.005327
13 33 32.990908
14 33 32.977976
15 33 32.971725
16 33 32.971458
17 33 32.977451
18 33 32.989925
19 33 33.007560
10 34 34.056728
11 34 34.033590
12 34 34.008935
13 34 33.996705
14 34 33.978575
15 34 33.973645
16 34 33.967867
17 34 33.973762
18 34 33.980270
19 34 33.998690
20 34 34.014870
11 35 35.040623
12 35 35.016790
13 35 34.999764
14 35 34.984583
15 35 34.973314
16 35 34.969032
17 35 34.968852
18 35 34.975257
19 35 34.988005
20 35 35.005140
11 36 36.049288
12 36 36.021879
13 36 36.006388
14 36 35.986695
15 36 35.978259
16 36 35.967080
17 36 35.968306
18 36 35.967545
19 36 35.981302
20 36 35.993074
21 36 36.016480
11 37 37.057051
12 37 37.030370
13 37 37.010531
14 37 36.992920
15 37 36.979606
16 37 36.971125
17 37 36.965902
18 37 36.966776
19 37 36.973375
20 37 36.985897
21 37 37.003740
12 38 38.036580
13 38 38.017402
14 38 37.995523
15 38 37.984251
16 38 37.971163
17 38 37.968010
18 38 37.962732
19 38 37.969081
20 38 37.976319
21 38 37.995120
22 38 38.011450
12 39 39.045384
13 39 39.022540
14 39 39.002491
15 39 38.986227
16 39 38.975134
17 39 38.968008
18 39 38.964313
19 39 38.963706
20 39 38.970710
21 39 38.984784
22 39 39.002360
12 40 40.052180
13 40 40.030030
14 40 40.005829
15 40 39.991331
16 40 39.975482
17 40 39.970415
18 40 39.962383
19 40 39.963998
20 40 39.962590
21 40 39.977967
22 40 39.990498
23 40 40.012760
13 41 41.036380
14 41 41.013011
15 41 40.994654
16 41 40.979593
17 41 40.970684
18 41 40.964500
19 41 40.961825
20 41 40.962277
21 41 40.969251
22 41 40.983148
23 41 41.000210
13 42 42.043840
14 42 42.017780
15 42 42.001084
16 42 41.981065
17 42 41.973254
18 42 41.963045
19 42 41.962402
20 42 41.958617
21 42 41.965516
22 42 41.973049
23 42 41.991820
24 42 42.006700
13 43 43.051470
14 43 43.024800
15 43 43.005024
16 43 42.986907
17 43 42.973888
18 43 42.965636
19 43 42.960734
20 43 42.958766
21 43 42.961150
22 43 42.968522
23 43 42.980766
24 43 42.997530
14 44 44.030610
15 44 44.011210
16 44 43.990118
17 44 43.977874
18 44 43.964923
19 44 43.961586
20 44 43.955481
21 44 43.959402
22 44 43.959689
23 44 43.974110
24 44 43.985360
25 44 44.007150
14 45 45.039950
15 45 45.016450
16 45 44.995717
17 45 44.980290
18 45 44.968039
19 45 44.960691
20 45 44.956186
21 45 44.955908
22 45 44.958121
23 45 44.965774
